image,label,image_path
test4_23_jpg.rf.599a8a2beb8a25dbfd50e5b01da949f1.jpg,0,DATASET/train/test4_23_jpg.rf.599a8a2beb8a25dbfd50e5b01da949f1.jpg
test17_11_jpg.rf.599a0d5c9fff1b5697db94ba36729a8f.jpg,0,DATASET/train/test17_11_jpg.rf.599a0d5c9fff1b5697db94ba36729a8f.jpg
test_20_jpg.rf.57d4f39067091587bd69c4cd00a76c12.jpg,0,DATASET/train/test_20_jpg.rf.57d4f39067091587bd69c4cd00a76c12.jpg
test25_17_jpg.rf.58800af6f512ffec6d51f49274d6ab24.jpg,0,DATASET/train/test25_17_jpg.rf.58800af6f512ffec6d51f49274d6ab24.jpg
test25_28_jpg.rf.59a5934b3a35b5bbc72c25a20fbee589.jpg,1,DATASET/train/test25_28_jpg.rf.59a5934b3a35b5bbc72c25a20fbee589.jpg
th-32-_jpeg.rf.57f8c1bc185ef24421884eff934f2614.jpg,1,DATASET/train/th-32-_jpeg.rf.57f8c1bc185ef24421884eff934f2614.jpg
Accidents-online-video-cutter_com-_mp4-1225_jpg.rf.58ced1883bcaf74ac1386160bac484a3.jpg,1,DATASET/train/Accidents-online-video-cutter_com-_mp4-1225_jpg.rf.58ced1883bcaf74ac1386160bac484a3.jpg
download-5-_jpeg.rf.58dd562fae23e9e66df12101911d3469.jpg,1,DATASET/train/download-5-_jpeg.rf.58dd562fae23e9e66df12101911d3469.jpg
test29_2_jpg.rf.58a058452f9b14ef35729a69aa52ed71.jpg,0,DATASET/train/test29_2_jpg.rf.58a058452f9b14ef35729a69aa52ed71.jpg
test22_31_jpg.rf.57fe598996f894c43c8e430d0f8ae605.jpg,1,DATASET/train/test22_31_jpg.rf.57fe598996f894c43c8e430d0f8ae605.jpg
ezgif-frame-111_jpg.rf.5a0a0d9ec05ee6997081f9384e003db0.jpg,0,DATASET/train/ezgif-frame-111_jpg.rf.5a0a0d9ec05ee6997081f9384e003db0.jpg
test7_23_jpg.rf.595bd76d56df1d8104cc4697cccd4f44.jpg,0,DATASET/train/test7_23_jpg.rf.595bd76d56df1d8104cc4697cccd4f44.jpg
Accidents-online-video-cutter_com-_mp4-654_jpg.rf.58a11dbf4c9a7856379bc3361650812f.jpg,1,DATASET/train/Accidents-online-video-cutter_com-_mp4-654_jpg.rf.58a11dbf4c9a7856379bc3361650812f.jpg
OIP-2023-04-25T164434-877_jpeg.rf.59296e36d7abc66d396117bef1270ed3.jpg,1,DATASET/train/OIP-2023-04-25T164434-877_jpeg.rf.59296e36d7abc66d396117bef1270ed3.jpg
Accidents-online-video-cutter_com-_mp4-1344_jpg.rf.5a0f428e8892bbab66dca7616029c9b3.jpg,0,DATASET/train/Accidents-online-video-cutter_com-_mp4-1344_jpg.rf.5a0f428e8892bbab66dca7616029c9b3.jpg
OIP-2023-04-25T164424-561_jpeg.rf.57c19e08896e036a2f62f528de118953.jpg,1,DATASET/train/OIP-2023-04-25T164424-561_jpeg.rf.57c19e08896e036a2f62f528de118953.jpg
test17_26_jpg.rf.593d02d2e0b2fe003acccaccd5c36521.jpg,0,DATASET/train/test17_26_jpg.rf.593d02d2e0b2fe003acccaccd5c36521.jpg
Accidents-online-video-cutter_com-_mp4-1101_jpg.rf.58244001cff65ea5773f0d57df39973e.jpg,0,DATASET/train/Accidents-online-video-cutter_com-_mp4-1101_jpg.rf.58244001cff65ea5773f0d57df39973e.jpg
test11_24_jpg.rf.57e978b6f9be3a5325799b61fb9c5589.jpg,1,DATASET/train/test11_24_jpg.rf.57e978b6f9be3a5325799b61fb9c5589.jpg
Accidents-online-video-cutter_com-_mp4-1074_jpg.rf.5a016a2ccddf236acb2aa17e309c1dfd.jpg,0,DATASET/train/Accidents-online-video-cutter_com-_mp4-1074_jpg.rf.5a016a2ccddf236acb2aa17e309c1dfd.jpg
Accidents-online-video-cutter_com-_mp4-276_jpg.rf.5a1ff3bd2d27fab04a603cfaa14c0be8.jpg,0,DATASET/train/Accidents-online-video-cutter_com-_mp4-276_jpg.rf.5a1ff3bd2d27fab04a603cfaa14c0be8.jpg
th-1-_jpeg.rf.592eff83f600be34f6e4bdca213dee14.jpg,1,DATASET/train/th-1-_jpeg.rf.592eff83f600be34f6e4bdca213dee14.jpg
Accidents-online-video-cutter_com-_mp4-140_jpg.rf.5a2a855d1b8c913e6cc5755ef92f6e1b.jpg,1,DATASET/train/Accidents-online-video-cutter_com-_mp4-140_jpg.rf.5a2a855d1b8c913e6cc5755ef92f6e1b.jpg
test23_17_jpg.rf.58acb7a57b7d6f328e6f2da359dd43f2.jpg,1,DATASET/train/test23_17_jpg.rf.58acb7a57b7d6f328e6f2da359dd43f2.jpg
Accidents-online-video-cutter_com-_mp4-151_jpg.rf.59dfc3b56fbd8f0b49bb1324d18b4f21.jpg,1,DATASET/train/Accidents-online-video-cutter_com-_mp4-151_jpg.rf.59dfc3b56fbd8f0b49bb1324d18b4f21.jpg
Accidents-online-video-cutter_com-_mp4-984_jpg.rf.5a40426d40db495bbabe450fce2b5f20.jpg,0,DATASET/train/Accidents-online-video-cutter_com-_mp4-984_jpg.rf.5a40426d40db495bbabe450fce2b5f20.jpg
ezgif-frame-128_jpg.rf.5864ebb801017a3d888f9f58a7bd1cff.jpg,1,DATASET/train/ezgif-frame-128_jpg.rf.5864ebb801017a3d888f9f58a7bd1cff.jpg
Accidents-online-video-cutter_com-_mp4-536_jpg.rf.5aa6a16a61692b423831bd806d4ae4c4.jpg,1,DATASET/train/Accidents-online-video-cutter_com-_mp4-536_jpg.rf.5aa6a16a61692b423831bd806d4ae4c4.jpg
OIP-22-_jpeg.rf.57b8e06e96fd7949d16d9cce6a192bf1.jpg,1,DATASET/train/OIP-22-_jpeg.rf.57b8e06e96fd7949d16d9cce6a192bf1.jpg
th-43-_jpeg.rf.5abd00a07d0201c35e02f77e2240233d.jpg,1,DATASET/train/th-43-_jpeg.rf.5abd00a07d0201c35e02f77e2240233d.jpg
Accidents-online-video-cutter_com-_mp4-473_jpg.rf.5b28f58349af92d2691def3b858a7abf.jpg,1,DATASET/train/Accidents-online-video-cutter_com-_mp4-473_jpg.rf.5b28f58349af92d2691def3b858a7abf.jpg
Accidents-online-video-cutter_com-_mp4-447_jpg.rf.5b26a85cf753d09785b6eaf1e24df169.jpg,1,DATASET/train/Accidents-online-video-cutter_com-_mp4-447_jpg.rf.5b26a85cf753d09785b6eaf1e24df169.jpg
test7_21_jpg.rf.5b2cfb11fc670f8ce7d42afcac9bcb2f.jpg,0,DATASET/train/test7_21_jpg.rf.5b2cfb11fc670f8ce7d42afcac9bcb2f.jpg
test27_60_jpg.rf.5b4da3c686e39664b7d80a9ed546419c.jpg,1,DATASET/train/test27_60_jpg.rf.5b4da3c686e39664b7d80a9ed546419c.jpg
Accidents-online-video-cutter_com-_mp4-843_jpg.rf.5b3d8c60bff0acc23fda3003d154b50c.jpg,0,DATASET/train/Accidents-online-video-cutter_com-_mp4-843_jpg.rf.5b3d8c60bff0acc23fda3003d154b50c.jpg
Accidents-online-video-cutter_com-_mp4-603_jpg.rf.5b8bed9782de48427da230780f50fe15.jpg,0,DATASET/train/Accidents-online-video-cutter_com-_mp4-603_jpg.rf.5b8bed9782de48427da230780f50fe15.jpg
Accidents-online-video-cutter_com-_mp4-136_jpg.rf.5b8ad0bd02c1ca48ff08eab3f4d20a80.jpg,1,DATASET/train/Accidents-online-video-cutter_com-_mp4-136_jpg.rf.5b8ad0bd02c1ca48ff08eab3f4d20a80.jpg
Accidents-online-video-cutter_com-_mp4-381_jpg.rf.5b2e3ae316fbab8dd283d88769a189c5.jpg,1,DATASET/train/Accidents-online-video-cutter_com-_mp4-381_jpg.rf.5b2e3ae316fbab8dd283d88769a189c5.jpg
